Common Name,Full Name,Certainty Begin First Reign,Era Begin First Reign,Begin First Reign,Certainty End First Reign,End First Reign,Days of First Reign,Years of First Reign,Certainty Begin Second Reign,Begin Second Reign,Certainty End Second Reign,End Second Reign,Days of Second Reign,Years of Second Reign,Part of Empire,Period,Epoch,Legitimacy,Status as Emperor,Succession 1,Succession 2,Succession 3,Certainty Birth,Era Birth,Date of Birth,Certainty Death,Date of Death,Age,Life details 1,Life details 2,Life details 3,Life details 4
Geta,Publius Septimius Geta,certain,AD,0211-02-04 ,certain,0211-12-26 ,300,0.82,certain,No second reign,certain,No second reign,0,0.0,Whole empire,Severan dynasty (193-235),Principate (27 BC-284 AD),strong,canonical,"Son of Septimius Severus, proclaimed co-emperor in October 209, succeeded jointly with his older brother, Caracalla",No information,No information,certain,AD,0189-03-07 ,certain,0211-12-26 ,22,"Murdered on order of his brother, Caracalla",No information,No information,No information
Macrinus,Marcus Opellius Severus Macrinus,certain,AD,0217-04-11 ,certain,0218-06-08 ,423,1.16,certain,No second reign,certain,No second reign,0,0.0,Whole empire,Severan dynasty (193-235),Principate (27 BC-284 AD),strong,canonical,"Praetorian prefect of Caracalla, accepted as emperor by the army and Senate after having arranged his predecessor's death in fear of his own life",No information,No information,approximate,AD,0165-??-??,certain,0218-06-??,53,"First  non-senator to become emperor, and first emperor not to visit Rome after acceding",Executed during a revolt of the troops in favor of Elagabalus,No information,No information
Diadumenian,Marcus Opellius Antoninus Diadumenianus,certain,AD,0218-05-??,certain,0218-06-??,30,0.08,certain,No second reign,certain,No second reign,0,0.0,Whole empire,Severan dynasty (193-235),Principate (27 BC-284 AD),strong,controversial,"Son of Macrinus, named co-emperor by his father after the eruption of a rebellion in favor of Elagabalus",No information,No information,certain,AD,0208-09-14 ,certain,0218-06-??,9,Caught in flight and executed in favor of Elagabalus,No information,No information,No information
Elagabalus,Marcus Aurelius Antoninus,certain,AD,0218-05-16 ,certain,0222-03-12 ,1389,3.81,certain,No second reign,certain,No second reign,0,0.0,Whole empire,Severan dynasty (193-235),Principate (27 BC-284 AD),strong,canonical,"Cousin and alleged illegitimate son of Caracalla, acclaimed as emperor by rebellious legions in opposition to Macrinus at the instigation of his grandmother, Julia Maesa",No information,No information,certain,AD,????-??-??,certain,0222-03-??,18,"Murdered by the Praetorian Guard alongside his mother, probably at the instigation of Julia Maesa",No information,No information,No information
Severus Alexander,Marcus Aurelius Severus Alexander,certain,AD,0222-03-13 ,certain,0235-03-21 ,4753,13.02,certain,No second reign,certain,No second reign,0,0.0,Whole empire,Severan dynasty (193-235),Principate (27 BC-284 AD),strong,canonical,Cousin and adopted heir of Elagabalus,No information,No information,certain,AD,0208-10-01 ,certain,0235-03-21 ,26,"Lynched by mutinous troops, alongside his mother",No information,No information,No information
Maximinus I Thrax,Gaius Julius Verus Maximinus,certain,AD,0235-03-??,certain,0238-06-??,1185,3.25,certain,No second reign,certain,No second reign,0,0.0,Whole empire,Crisis of the Third Century (235-285),Principate (27 BC-284 AD),strong,canonical,Proclaimed emperor by Germanic legions after the murder of Severus Alexander,No information,No information,approximate,AD,????-??-??,approximate,0238-06-??,66,First commoner to become emperor,Murdered by his men during the siege of Aquileia,No information,No information
Gordian I,Marcus Antonius Gordianus Sempronianus Romanus,certain,AD,0238-04-??,certain,0238-05-??,22,0.06,certain,No second reign,certain,No second reign,0,0.0,Whole empire,Crisis of the Third Century (235-285),Principate (27 BC-284 AD),strong,canonical,"Proclaimed emperor alongside his son, Gordian II, while serving as governor of Africa, in a revolt against Maximinus, and recognized by the Senate",No information,No information,approximate,AD,????-??-??,approximate,0238-05-??,80,Oldest emperor at the time of his elevation,Committed suicide upon hearing of the death of his son,No information,No information
Gordian II,Marcus Antonius Gordianus Sempronianus Romanus,certain,AD,0238-04-??,certain,0238-05-??,22,0.06,certain,No second reign,certain,No second reign,0,0.0,Whole empire,Crisis of the Third Century (235-285),Principate (27 BC-284 AD),strong,canonical,"Proclaimed emperor alongside his father Gordian I, during revolt in Africa against Maximinus",No information,No information,approximate,AD,0192-??-??,approximate,0238-05-??,46,The shortest-reigning emperor on record,Killed outside Carthage in battle against an army loyal to Maximinus I,No information,No information
Pupienus,Marcus Clodius Maximus,certain,AD,0238-05-??,certain,0238-08-??,99,0.27,certain,No second reign,certain,No second reign,0,0.0,Whole empire,Crisis of the Third Century (235-285),Principate (27 BC-284 AD),strong,canonical,"Proclaimed emperor jointly with Balbinus by the Senate after death of Gordian I and II, in opposition to Maximinus",No information,No information,approximate,AD,0164-??-??,approximate,0238-08-??,74,Tortured and murdered by the Praetorian Guard,No information,No information,No information
Balbinus,Decimus Caelius Calvinus Balbinus,certain,AD,0238-05-??,certain,0238-08-??,99,0.27,certain,No second reign,certain,No second reign,0,0.0,Whole empire,Crisis of the Third Century (235-285),Principate (27 BC-284 AD),strong,canonical,"Proclaimed emperor jointly with Pupienus by the Senate after death of Gordian I and II, in opposition to Maximinus",No information,No information,approximate,AD,0178-??-??,approximate,0238-08-??,60,Tortured and murdered by the Praetorian Guard,No information,No information,No information
Gordian III,Marcus Antonius Gordianus,certain,AD,0238-08-??,certain,0244-02-??,2005,5.49,certain,No second reign,certain,No second reign,0,0.0,Whole empire,Crisis of the Third Century (235-285),Principate (27 BC-284 AD),strong,canonical,"Grandson of Gordian I, appointed as heir by Pupienus and Balbinus, upon whose deaths he succeeded as emperor",No information,No information,certain,AD,0225-01-20 ,approximate,0244-02-??,19,"Died during campaign against Persia, possibly in a murder plot instigated by Philip I",No information,No information,No information
Philip I the Arab,Marcus Julius Philippus,certain,AD,0244-02-??,certain,0249-09-??,1825,5.0,certain,No second reign,certain,No second reign,0,0.0,Whole empire,Crisis of the Third Century (235-285),Principate (27 BC-284 AD),strong,canonical,"Praetorian prefect under Gordian III, seized power after his death",No information,No information,approximate,AD,0204-??-??,certain,0249-09-??,45,"Killed at the Battle of Verona, against Decius",No information,No information,No information
Philip II the Younger,Marcus Julius Severus Philippus,certain,AD,0247-07-??,certain,0249-09-??,790,2.16,certain,No second reign,certain,No second reign,0,0.0,Whole empire,Crisis of the Third Century (235-285),Principate (27 BC-284 AD),strong,controversial,"Son of Philip I, appointed co-emperor",No information,No information,approximate,AD,0237-??-??,certain,0249-09-??,12,Murdered by the Praetorian Guard,No information,No information,No information
Decius,Gaius Messius Quintus Traianus Decius,certain,AD,0249-09-??,certain,0251-06-??,365,1.0,certain,No second reign,certain,No second reign,0,0.0,Whole empire,Crisis of the Third Century (235-285),Principate (27 BC-284 AD),strong,canonical,"Proclaimed emperor by the troops in Moesia, then defeated and killed Philip I in battle",No information,No information,approximate,AD,????-??-??,certain,0251-06-??,60,"Killed at the Battle of Abrittus, against the Goths",No information,No information,No information
Herennius Etruscus,Quintus Messius Decius,certain,AD,0251-05-??,certain,0251-06-??,30,0.08,certain,No second reign,certain,No second reign,0,0.0,Whole empire,Crisis of the Third Century (235-285),Principate (27 BC-284 AD),strong,controversial,"Son of Decius, appointed co-emperor",No information,No information,certain,AD,????-??-??,certain,0251-06-??,Unknown,Killed at the Battle of Abrittus alongside his father,No information,No information,No information
Trebonianus Gallus,Gaius Vibius Trebonianus Gallus,certain,AD,0251-06-??,certain,0253-08-??,790,2.16,certain,No second reign,certain,No second reign,0,0.0,Whole empire,Crisis of the Third Century (235-285),Principate (27 BC-284 AD),strong,canonical,"Senator and general, proclaimed emperor after the deaths of Decius and Herennius Etruscus",No information,No information,approximate,AD,0206-??-??,approximate,0253-08-??,47,Murdered by his own troops in favor of Aemilian,No information,No information,No information
Hostilian,Gaius Valens Hostilianus Messius Quintus,certain,AD,0251-06-??,certain,0251-07-??,30,0.08,certain,No second reign,certain,No second reign,0,0.0,Whole empire,Crisis of the Third Century (235-285),Principate (27 BC-284 AD),strong,controversial,"Younger son of Decius, named caesar by his father and proclaimed co-emperor by Trebonianus Gallus",No information,No information,certain,AD,????-??-??,approximate,0251-07-??,Unknown,Died of plague or murdered by Trebonianus Gallus,No information,No information,No information
Volusianus,Gaius Vibius Afinius Gallus Veldumnianus Volusianus,certain,AD,0251-08-??,certain,0253-08-??,730,2.0,certain,No second reign,certain,No second reign,0,0.0,Whole empire,Crisis of the Third Century (235-285),Principate (27 BC-284 AD),strong,controversial,"Son of Gallus, appointed co-emperor",No information,No information,approximate,AD,0230-??-??,approximate,0253-08-??,23,"Murdered by the soldiers, alongside his father",No information,No information,No information
Aemilianus,Marcus Aemilius Aemilianus,certain,AD,0253-07-??,certain,0253-09-??,60,0.16,certain,No second reign,certain,No second reign,0,0.0,Whole empire,Crisis of the Third Century (235-285),Principate (27 BC-284 AD),strong,canonical,"Commander in Moesia, proclaimed emperor by his soldiers after defeating barbarians, in opposition to Gallus",No information,No information,approximate,AD,0207-??-??,approximate,0253-09-??,46,Murdered by his own troops in favor of Valerian,No information,No information,No information
Silbannacus,Mar. Silbannacus,certain,AD,0253-09-??,certain,0253-09-??,30,0.08,certain,No second reign,certain,No second reign,0,0.0,Whole empire,Crisis of the Third Century (235-285),Principate (27 BC-284 AD),weak,canonical,"Obscure figure known only from coinage, may have briefly ruled in Rome between Aemilianus and Valerian",No information,No information,certain,AD,????-??-??,certain,????-??-??,Unknown,Nothing known,No information,No information,No information
Valerian,Publius Licinius Valerianus,certain,AD,0253-09-??,certain,0260-06-??,2460,6.74,certain,No second reign,certain,No second reign,0,0.0,Whole empire,Crisis of the Third Century (235-285),Principate (27 BC-284 AD),strong,canonical,"Army commander in Raetia and Noricum, proclaimed emperor by the legions in opposition to Aemilian",No information,No information,approximate,AD,0200-??-??,certain,????-??-??,Unknown,"Captured at Edessa by the Persian king Shapur I, died in captivity possibly forced to swallow molten gold",No information,No information,No information
Gallienus,Publius Licinius Egnatius Gallienus,certain,AD,0253-09-??,certain,0268-09-??,5475,15.0,certain,No second reign,certain,No second reign,0,0.0,Whole empire,Crisis of the Third Century (235-285),Principate (27 BC-284 AD),strong,canonical,"Son of Valerian, appointed joint emperor",Sole emperor after Valerian's capture in 260,No information,certain,AD,0218-??-??,approximate,0268-09-??,50,Faced multiple revolts & barbarian invasions,"Murdered in a conspiracy of army officers, involving Claudius II and Aurelian",No information,No information
Saloninus,Publius Licinius Cornelius Valerianus,certain,AD,0260-??-??,certain,0260-??-??,30,0.08,certain,No second reign,certain,No second reign,0,0.0,Whole empire,Crisis of the Third Century (235-285),Principate (27 BC-284 AD),strong,controversial,"Son of Gallienus, proclaimed caesar by his father and proclaimed emperor by the praetorian prefect Silvanus while besieged by Postumus",No information,No information,certain,AD,????-??-??,certain,0260-??-??,Unknown,Murdered by troops loyal to Postumus,No information,No information,No information
Claudius II Gothicus,Marcus Aurelius Claudius,certain,AD,0268-09-??,certain,0270-08-??,695,1.9,certain,No second reign,certain,No second reign,0,0.0,Whole empire,Crisis of the Third Century (235-285),Principate (27 BC-284 AD),strong,canonical,"Army commander in Illyria, proclaimed emperor after Gallienus's death",No information,No information,certain,AD,0214-05-10 ,certain,0270-08-??,55,Died of plague,No information,No information,No information
Quintillus,Marcus Aurelius Claudius Quintillus,certain,AD,0270-08-??,certain,0270-09-??,27,0.07,certain,No second reign,certain,No second reign,0,0.0,Whole empire,Crisis of the Third Century (235-285),Principate (27 BC-284 AD),strong,canonical,"Brother of Claudius II, proclaimed emperor after his death",No information,No information,certain,AD,????-??-??,certain,0270-??-??,Unknown,Committed suicide or killed at the behest of Aurelian,No information,No information,No information
Aurelian,Lucius Domitius Aurelianus,certain,AD,0270-08-??,certain,0275-11-??,1915,5.25,certain,No second reign,certain,No second reign,0,0.0,Whole empire,Crisis of the Third Century (235-285),Principate (27 BC-284 AD),strong,canonical,"Commander of the Roman cavalry, proclaimed emperor by Danube legions after Claudius II's death, in opposition to Quintillus",No information,No information,certain,AD,0214-09-09 ,approximate,0275-??-??,61,Reunified the Roman Empire,Murdered by the Praetorian Guard,No information,No information
Tacitus,Marcus Claudius Tacitus,certain,AD,0275-12-??,certain,0276-06-??,210,0.58,certain,No second reign,certain,No second reign,0,0.0,Whole empire,Crisis of the Third Century (235-285),Principate (27 BC-284 AD),strong,canonical,"Alleged princeps senatus, proclaimed emperor by the Senate or, more likely, by his soldiers in Campania after Aurelian's death",No information,No information,approximate,AD,????-??-??,approximate,0276-06-??,76,Died of illness or possibly murdered,No information,No information,No information
Florianus,Marcus Annius Florianus,certain,AD,0276-06-??,certain,0276-09-??,0,0.0,certain,No second reign,certain,No second reign,0,0.0,Whole empire,Crisis of the Third Century (235-285),Principate (27 BC-284 AD),strong,canonical,"Brother or, more likely, half-brother of Tacitus",No information,No information,certain,AD,????-??-??,certain,0276-09-??,Unknown,Murdered by his own troops in favor of Probus,No information,No information,No information
Probus,Marcus Aurelius Probus,certain,AD,0276-06-??,certain,0282-09-??,2280,6.25,certain,No second reign,certain,No second reign,0,0.0,Whole empire,Crisis of the Third Century (235-285),Principate (27 BC-284 AD),strong,canonical,General,"Proclaimed emperor by the eastern legions, in opposition to Florianus",No information,certain,AD,0232-08-19 ,approximate,0282-09-??,50,Murdered by his own troops in favor of Carus,No information,No information,No information
Carus,Marcus Aurelius Carus,certain,AD,0282-09-??,certain,0283-07-??,300,0.82,certain,No second reign,certain,No second reign,0,0.0,Whole empire,Crisis of the Third Century (235-285),Principate (27 BC-284 AD),strong,canonical,"Praetorian prefect under Probus, seized power before or after Probus's murder",No information,No information,approximate,AD,????-??-??,approximate,0283-07-??,60,"Died in Persia, either of illness, assassination, or by being hit by lightning",No information,No information,No information
Carinus,Marcus Aurelius Carinus,certain,AD,0283-??-??,certain,0285-08-??,730,2.0,certain,No second reign,certain,No second reign,0,0.0,Whole empire,Crisis of the Third Century (235-285),Principate (27 BC-284 AD),strong,canonical,"Son of Carus, appointed joint emperor shortly before his death",Succeeded jointly with Numerian,No information,approximate,AD,0250-??-??,certain,0285-08-??,35,"Probably died in battle against Diocletian, likely betrayed by his own soldiers",No information,No information,No information
Numerian,Marcus Aurelius Numerianus,certain,AD,0283-07-??,certain,0284-11-??,365,1.0,certain,No second reign,certain,No second reign,0,0.0,Whole empire,Crisis of the Third Century (235-285),Principate (27 BC-284 AD),strong,canonical,"Son of Carus, succeeded jointly with Carinus",No information,No information,approximate,AD,0253-??-??,certain,0284-11-??,31,"Died while marching to Europe, probably of disease, possibly assassinated",No information,No information,No information
Diocletian Jovius,Gaius Aurelius Valerius Diocletianus,certain,AD,0284-11-20 ,certain,0305-05-01 ,7461,20.44,certain,No second reign,certain,No second reign,0,0.0,Whole empire,Tetrarchy (284-324),Dominate (284-476),strong,canonical,"Commander of the imperial bodyguard, acclaimed by the army after death of Numerian, and proceeded to defeat Numerian's brother, Carinus, in battle",No information,No information,approximate,AD,0243-12-22 ,approximate,0311-12-03 ,68,Began the last great persecution of Christianity,First emperor to voluntarily abdicate,"Died in unclear circumstances, possibly suicide",No information
Maximian Herculius,Marcus Aurelius Valerius Maximianus,certain,AD,0286-04-01 ,certain,0305-05-01 ,6965,19.08,certain,0306-??-??,certain,0308-11-11 ,730,2.0,West,Tetrarchy (284-324),Dominate (284-476),strong,canonical,"Elevated by Diocletian, ruled the western provinces",No information,No information,approximate,AD,0250-??-??,approximate,0310-07-??,60,"Abdicated with Diocletian, later trying to regain power with, and then from, Maxentius, before being probably killed on orders of Constantine I",No information,No information,No information
Galerius,Gaius Valerius Maximianus,certain,AD,0305-05-01 ,certain,0311-05-??,2190,6.0,certain,No second reign,certain,No second reign,0,0.0,East,Tetrarchy (284-324),Dominate (284-476),strong,canonical,"Elevated to caesar in 293 by Diocletian, succeeded as eastern augustus upon Diocletian's abdication",No information,No information,approximate,AD,0258-??-??,certain,0311-05-??,53,Died of natural causes,No information,No information,No information
Constantius I Chlorus,Marcus Flavius Valerius Constantius,certain,AD,0305-05-01 ,certain,0306-07-25 ,449,1.23,certain,No second reign,certain,No second reign,0,0.0,West,Tetrarchy (284-324),Dominate (284-476),strong,canonical,"Maximian's relation by marriage, elevated to caesar in 293 by Diocletian, succeeded as western augustus upon Maximian's abdication",No information,No information,approximate,AD,0250-03-31 ,certain,0306-07-25 ,56,Died of natural causes,No information,No information,No information
Severus II,Flavius Valerius Severus,certain,AD,0306-08-??,certain,0307-03-??,240,0.66,certain,No second reign,certain,No second reign,0,0.0,West,Tetrarchy (284-324),Dominate (284-476),strong,canonical,"Elevated to caesar in 305 by Maximian, promoted to western augustus by Galerius upon Constantius I's death",No information,No information,certain,AD,????-??-??,certain,0307-09-??,Unknown,"Surrendered to Maximian and Maxentius, later murdered or forced to commit suicide",No information,No information,No information
Maxentius,Marcus Aurelius Valerius Maxentius,certain,AD,0306-10-28 ,certain,0312-10-28 ,2190,6.0,certain,No second reign,certain,No second reign,0,0.0,Italy,Tetrarchy (284-324),Dominate (284-476),weak,canonical,"Son of Maximian and son-in-law of Galerius, seized power in Italy with support of the Praetorian Guard and his father after being passed over in the succession",Not recognized by the other emperors,No information,approximate,AD,0283-??-??,certain,0312-10-28 ,29,"Died at the Battle of the Milvian Bridge, against Constantine I",No information,No information,No information
Licinius,Valerius Licinianus Licinius,certain,AD,0308-11-11 ,certain,0324-09-19 ,5783,15.84,certain,No second reign,certain,No second reign,0,0.0,East,Tetrarchy (284-324),Dominate (284-476),strong,canonical,"Elevated by Galerius to replace Severus, in opposition to Maxentius",Defeated Maximinus Daza in a civil war to become sole emperor of the East in 313,No information,approximate,AD,0265-??-??,certain,0325-??-??,60,"Defeated, deposed and put to death by Constantine I",No information,No information,No information
